corner	clock_index	condition	clock	period_ns	check	file
0	0	7_slow_1100mv_100c	FPGA_CLK1_50	20.000	setup	Plex.corner-00.clock-00.setup.rpt
0	0	7_slow_1100mv_100c	FPGA_CLK1_50	20.000	hold	Plex.corner-00.clock-00.hold.rpt
0	1	7_slow_1100mv_100c	FPGA_CLK2_50	20.000	setup	Plex.corner-00.clock-01.setup.rpt
0	1	7_slow_1100mv_100c	FPGA_CLK2_50	20.000	hold	Plex.corner-00.clock-01.hold.rpt
0	2	7_slow_1100mv_100c	FPGA_CLK3_50	20.000	setup	Plex.corner-00.clock-02.setup.rpt
0	2	7_slow_1100mv_100c	FPGA_CLK3_50	20.000	hold	Plex.corner-00.clock-02.hold.rpt
0	3	7_slow_1100mv_100c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	setup	Plex.corner-00.clock-03.setup.rpt
0	3	7_slow_1100mv_100c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	hold	Plex.corner-00.clock-03.hold.rpt
0	4	7_slow_1100mv_100c	spi_sck	10.000	setup	Plex.corner-00.clock-04.setup.rpt
0	4	7_slow_1100mv_100c	spi_sck	10.000	hold	Plex.corner-00.clock-04.hold.rpt
0	5	7_slow_1100mv_100c	hdmi_sck	100.000	setup	Plex.corner-00.clock-05.setup.rpt
0	5	7_slow_1100mv_100c	hdmi_sck	100.000	hold	Plex.corner-00.clock-05.hold.rpt
0	6	7_slow_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|counter[0].output_counter|divclk	6.732	setup	Plex.corner-00.clock-06.setup.rpt
0	6	7_slow_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|counter[0].output_counter|divclk	6.732	hold	Plex.corner-00.clock-06.hold.rpt
0	7	7_slow_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|fpll_0|fpll|vcoph[0]	2.244	setup	Plex.corner-00.clock-07.setup.rpt
0	7	7_slow_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|fpll_0|fpll|vcoph[0]	2.244	hold	Plex.corner-00.clock-07.hold.rpt
0	8	7_slow_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.777	setup	Plex.corner-00.clock-08.setup.rpt
0	8	7_slow_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.777	hold	Plex.corner-00.clock-08.hold.rpt
0	9	7_slow_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	8.333	setup	Plex.corner-00.clock-09.setup.rpt
0	9	7_slow_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	8.333	hold	Plex.corner-00.clock-09.hold.rpt
0	10	7_slow_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	11.111	setup	Plex.corner-00.clock-10.setup.rpt
0	10	7_slow_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	11.111	hold	Plex.corner-00.clock-10.hold.rpt
0	11	7_slow_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.393	setup	Plex.corner-00.clock-11.setup.rpt
0	11	7_slow_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.393	hold	Plex.corner-00.clock-11.hold.rpt
0	12	7_slow_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	40.682	setup	Plex.corner-00.clock-12.setup.rpt
0	12	7_slow_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	40.682	hold	Plex.corner-00.clock-12.hold.rpt
1	0	7_slow_1100mv_-40c	FPGA_CLK1_50	20.000	setup	Plex.corner-01.clock-00.setup.rpt
1	0	7_slow_1100mv_-40c	FPGA_CLK1_50	20.000	hold	Plex.corner-01.clock-00.hold.rpt
1	1	7_slow_1100mv_-40c	FPGA_CLK2_50	20.000	setup	Plex.corner-01.clock-01.setup.rpt
1	1	7_slow_1100mv_-40c	FPGA_CLK2_50	20.000	hold	Plex.corner-01.clock-01.hold.rpt
1	2	7_slow_1100mv_-40c	FPGA_CLK3_50	20.000	setup	Plex.corner-01.clock-02.setup.rpt
1	2	7_slow_1100mv_-40c	FPGA_CLK3_50	20.000	hold	Plex.corner-01.clock-02.hold.rpt
1	3	7_slow_1100mv_-40c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	setup	Plex.corner-01.clock-03.setup.rpt
1	3	7_slow_1100mv_-40c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	hold	Plex.corner-01.clock-03.hold.rpt
1	4	7_slow_1100mv_-40c	spi_sck	10.000	setup	Plex.corner-01.clock-04.setup.rpt
1	4	7_slow_1100mv_-40c	spi_sck	10.000	hold	Plex.corner-01.clock-04.hold.rpt
1	5	7_slow_1100mv_-40c	hdmi_sck	100.000	setup	Plex.corner-01.clock-05.setup.rpt
1	5	7_slow_1100mv_-40c	hdmi_sck	100.000	hold	Plex.corner-01.clock-05.hold.rpt
1	6	7_slow_1100mv_-40c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|counter[0].output_counter|divclk	6.732	setup	Plex.corner-01.clock-06.setup.rpt
1	6	7_slow_1100mv_-40c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|counter[0].output_counter|divclk	6.732	hold	Plex.corner-01.clock-06.hold.rpt
1	7	7_slow_1100mv_-40c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|fpll_0|fpll|vcoph[0]	2.244	setup	Plex.corner-01.clock-07.setup.rpt
1	7	7_slow_1100mv_-40c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|fpll_0|fpll|vcoph[0]	2.244	hold	Plex.corner-01.clock-07.hold.rpt
1	8	7_slow_1100mv_-40c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.777	setup	Plex.corner-01.clock-08.setup.rpt
1	8	7_slow_1100mv_-40c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.777	hold	Plex.corner-01.clock-08.hold.rpt
1	9	7_slow_1100mv_-40c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	8.333	setup	Plex.corner-01.clock-09.setup.rpt
1	9	7_slow_1100mv_-40c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	8.333	hold	Plex.corner-01.clock-09.hold.rpt
1	10	7_slow_1100mv_-40c	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	11.111	setup	Plex.corner-01.clock-10.setup.rpt
1	10	7_slow_1100mv_-40c	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	11.111	hold	Plex.corner-01.clock-10.hold.rpt
1	11	7_slow_1100mv_-40c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.393	setup	Plex.corner-01.clock-11.setup.rpt
1	11	7_slow_1100mv_-40c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.393	hold	Plex.corner-01.clock-11.hold.rpt
1	12	7_slow_1100mv_-40c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	40.682	setup	Plex.corner-01.clock-12.setup.rpt
1	12	7_slow_1100mv_-40c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	40.682	hold	Plex.corner-01.clock-12.hold.rpt
2	0	MIN_fast_1100mv_100c	FPGA_CLK1_50	20.000	setup	Plex.corner-02.clock-00.setup.rpt
2	0	MIN_fast_1100mv_100c	FPGA_CLK1_50	20.000	hold	Plex.corner-02.clock-00.hold.rpt
2	1	MIN_fast_1100mv_100c	FPGA_CLK2_50	20.000	setup	Plex.corner-02.clock-01.setup.rpt
2	1	MIN_fast_1100mv_100c	FPGA_CLK2_50	20.000	hold	Plex.corner-02.clock-01.hold.rpt
2	2	MIN_fast_1100mv_100c	FPGA_CLK3_50	20.000	setup	Plex.corner-02.clock-02.setup.rpt
2	2	MIN_fast_1100mv_100c	FPGA_CLK3_50	20.000	hold	Plex.corner-02.clock-02.hold.rpt
2	3	MIN_fast_1100mv_100c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	setup	Plex.corner-02.clock-03.setup.rpt
2	3	MIN_fast_1100mv_100c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	hold	Plex.corner-02.clock-03.hold.rpt
2	4	MIN_fast_1100mv_100c	spi_sck	10.000	setup	Plex.corner-02.clock-04.setup.rpt
2	4	MIN_fast_1100mv_100c	spi_sck	10.000	hold	Plex.corner-02.clock-04.hold.rpt
2	5	MIN_fast_1100mv_100c	hdmi_sck	100.000	setup	Plex.corner-02.clock-05.setup.rpt
2	5	MIN_fast_1100mv_100c	hdmi_sck	100.000	hold	Plex.corner-02.clock-05.hold.rpt
2	6	MIN_fast_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|counter[0].output_counter|divclk	6.732	setup	Plex.corner-02.clock-06.setup.rpt
2	6	MIN_fast_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|counter[0].output_counter|divclk	6.732	hold	Plex.corner-02.clock-06.hold.rpt
2	7	MIN_fast_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|fpll_0|fpll|vcoph[0]	2.244	setup	Plex.corner-02.clock-07.setup.rpt
2	7	MIN_fast_1100mv_100c	pll_hdmi|pll_hdmi_inst|altera_pll_i|cyclonev_pll|fpll_0|fpll|vcoph[0]	2.244	hold	Plex.corner-02.clock-07.hold.rpt
2	8	MIN_fast_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.777	setup	Plex.corner-02.clock-08.setup.rpt
2	8	MIN_fast_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.777	hold	Plex.corner-02.clock-08.hold.rpt
2	9	MIN_fast_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	8.333	setup	Plex.corner-02.clock-09.setup.rpt
2	9	MIN_fast_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	8.333	hold	Plex.corner-02.clock-09.hold.rpt
2	10	MIN_fast_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	11.111	setup	Plex.corner-02.clock-10.setup.rpt
2	10	MIN_fast_1100mv_100c	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	11.111	hold	Plex.corner-02.clock-10.hold.rpt
2	11	MIN_fast_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.393	setup	Plex.corner-02.clock-11.setup.rpt
2	11	MIN_fast_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0]	2.393	hold	Plex.corner-02.clock-11.hold.rpt
2	12	MIN_fast_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	40.682	setup	Plex.corner-02.clock-12.setup.rpt
2	12	MIN_fast_1100mv_100c	pll_audio|pll_audio_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk	40.682	hold	Plex.corner-02.clock-12.hold.rpt
3	0	MIN_fast_1100mv_-40c	FPGA_CLK1_50	20.000	setup	Plex.corner-03.clock-00.setup.rpt
3	0	MIN_fast_1100mv_-40c	FPGA_CLK1_50	20.000	hold	Plex.corner-03.clock-00.hold.rpt
3	1	MIN_fast_1100mv_-40c	FPGA_CLK2_50	20.000	setup	Plex.corner-03.clock-01.setup.rpt
3	1	MIN_fast_1100mv_-40c	FPGA_CLK2_50	20.000	hold	Plex.corner-03.clock-01.hold.rpt
3	2	MIN_fast_1100mv_-40c	FPGA_CLK3_50	20.000	setup	Plex.corner-03.clock-02.setup.rpt
3	2	MIN_fast_1100mv_-40c	FPGA_CLK3_50	20.000	hold	Plex.corner-03.clock-02.hold.rpt
3	3	MIN_fast_1100mv_-40c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	setup	Plex.corner-03.clock-03.setup.rpt
3	3	MIN_fast_1100mv_-40c	sysmem|fpga_interfaces|clocks_resets|h2f_user0_clk	10.000	hold	Plex.corner-03.clock-03.hold.rpt
3	4	MIN_fast_1100mv_-40c	spi_sck	10.000	setup	Plex.corner-03.clock-04.setup.rpt
3	4	MIN_fast_1100mv_-40c	spi_sck	10.000	hold	Plex.corner-03.clock-04.hold.rpt
3	5	MIN_fast_1100mv_-40c	hdmi_sck	100.000	setup	Plex.corner-03.clock-05.setup.rpt
3	5	MIN_fast_1100mv_-40c	hdmi_sck	100.000	hold	Plex.corner-03.clock-05.hold.rpt
